"","toa","thr"
"262","Non-Adopters","Non-Adopters"
"263","Non-Adopters","Non-Adopters"
"264","Non-Adopters","Non-Adopters"
"265","Non-Adopters","Non-Adopters"
"266","Non-Adopters","Non-Adopters"
"267","Non-Adopters","Non-Adopters"
"268","Non-Adopters","Non-Adopters"
"269","Non-Adopters","Non-Adopters"
"270","Non-Adopters","Non-Adopters"
"271","Non-Adopters","Non-Adopters"
"272","Non-Adopters","Non-Adopters"
"273","Non-Adopters","Non-Adopters"
"274","Non-Adopters","Non-Adopters"
"275","Non-Adopters","Non-Adopters"
"276","Early Adopters","High Thresh."
"277","Non-Adopters","Non-Adopters"
"278","Non-Adopters","Non-Adopters"
"279","Non-Adopters","Non-Adopters"
"280","Early Adopters","Very Low Thresh."
"281","Non-Adopters","Non-Adopters"
"282","Non-Adopters","Non-Adopters"
"283","Non-Adopters","Non-Adopters"
"284","Non-Adopters","Non-Adopters"
"285","Non-Adopters","Non-Adopters"
"286","Non-Adopters","Non-Adopters"
"287","Non-Adopters","Non-Adopters"
"288","Non-Adopters","Non-Adopters"
"289","Laggards","Very Low Thresh."
"290","Non-Adopters","Non-Adopters"
"291","Early Majority","High Thresh."
"292","Late Majority","High Thresh."
"293","Non-Adopters","Non-Adopters"
"294","Non-Adopters","Non-Adopters"
"295","Non-Adopters","Non-Adopters"
"296","Non-Adopters","Non-Adopters"
"297","Non-Adopters","Non-Adopters"
"298","Late Majority","High Thresh."
"299","Early Majority","Low Thresh."
"300","Non-Adopters","Non-Adopters"
"301","Non-Adopters","Non-Adopters"
"302","Non-Adopters","Non-Adopters"
"303","Non-Adopters","Non-Adopters"
"304","Non-Adopters","Non-Adopters"
"305","Early Majority","High Thresh."
"306","Non-Adopters","Non-Adopters"
"307","Non-Adopters","Non-Adopters"
"308","Non-Adopters","Non-Adopters"
"309","Non-Adopters","Non-Adopters"
"310","Non-Adopters","Non-Adopters"
"311","Non-Adopters","Non-Adopters"
"312","Non-Adopters","Non-Adopters"
"313","Non-Adopters","Non-Adopters"
"314","Non-Adopters","Non-Adopters"
"315","Non-Adopters","Non-Adopters"
"316","Non-Adopters","Non-Adopters"
"317","Non-Adopters","Non-Adopters"
"318","Non-Adopters","Non-Adopters"
"319","Non-Adopters","Non-Adopters"
"320","Non-Adopters","Non-Adopters"
"321","Non-Adopters","Non-Adopters"
"322","Non-Adopters","Non-Adopters"
"323","Non-Adopters","Non-Adopters"
"324","Non-Adopters","Non-Adopters"
"325","Non-Adopters","Non-Adopters"
"326","Late Majority","High Thresh."
"327","Non-Adopters","Non-Adopters"
"328","Non-Adopters","Non-Adopters"
"329","Non-Adopters","Non-Adopters"
"330","Non-Adopters","Non-Adopters"
"331","Non-Adopters","Non-Adopters"
"332","Laggards","High Thresh."
"333","Non-Adopters","Non-Adopters"
"334","Late Majority","High Thresh."
"335","Non-Adopters","Non-Adopters"
"336","Non-Adopters","Non-Adopters"
"337","Non-Adopters","Non-Adopters"
"338","Non-Adopters","Non-Adopters"
"339","Non-Adopters","Non-Adopters"
"340","Non-Adopters","Non-Adopters"
"341","Non-Adopters","Non-Adopters"
"342","Non-Adopters","Non-Adopters"
"343","Non-Adopters","Non-Adopters"
"344","Non-Adopters","Non-Adopters"
"345","Late Majority","High Thresh."
"346","Non-Adopters","Non-Adopters"
"347","Early Adopters","Very Low Thresh."
"348","Early Majority","High Thresh."
"349","Non-Adopters","Non-Adopters"
"350","Non-Adopters","Non-Adopters"
"351","Non-Adopters","Non-Adopters"
"352","Non-Adopters","Non-Adopters"
"353","Non-Adopters","Non-Adopters"
"354","Non-Adopters","Non-Adopters"
"355","Late Majority","High Thresh."
"356","Non-Adopters","Non-Adopters"
"357","Non-Adopters","Non-Adopters"
"358","Non-Adopters","Non-Adopters"
"359","Non-Adopters","Non-Adopters"
"360","Early Majority","High Thresh."
"361","Non-Adopters","Non-Adopters"
"362","Non-Adopters","Non-Adopters"
"363","Non-Adopters","Non-Adopters"
"364","Non-Adopters","Non-Adopters"
"365","Non-Adopters","Non-Adopters"
"366","Late Majority","High Thresh."
"367","Non-Adopters","Non-Adopters"
"368","Non-Adopters","Non-Adopters"
"369","Early Majority","Very Low Thresh."
"370","Non-Adopters","Non-Adopters"
"371","Non-Adopters","Non-Adopters"
"372","Non-Adopters","Non-Adopters"
"373","Non-Adopters","Non-Adopters"
"374","Non-Adopters","Non-Adopters"
"375","Laggards","Low Thresh."
"376","Non-Adopters","Non-Adopters"
"377","Non-Adopters","Non-Adopters"
"378","Non-Adopters","Non-Adopters"
"379","Non-Adopters","Non-Adopters"
"380","Non-Adopters","Non-Adopters"
"381","Non-Adopters","Non-Adopters"
"382","Non-Adopters","Non-Adopters"
"383","Early Adopters","High Thresh."
"384","Non-Adopters","Non-Adopters"
"385","Non-Adopters","Non-Adopters"
"386","Non-Adopters","Non-Adopters"
"387","Non-Adopters","Non-Adopters"
"388","Non-Adopters","Non-Adopters"
"389","Non-Adopters","Non-Adopters"
"390","Non-Adopters","Non-Adopters"
"391","Late Majority","High Thresh."
"392","Non-Adopters","Non-Adopters"
"393","Non-Adopters","Non-Adopters"
"394","Non-Adopters","Non-Adopters"
"395","Non-Adopters","Non-Adopters"
"396","Early Majority","Low Thresh."
"397","Non-Adopters","Non-Adopters"
"398","Non-Adopters","Non-Adopters"
"399","Early Majority","High Thresh."
"400","Non-Adopters","Non-Adopters"
"401","Non-Adopters","Non-Adopters"
"402","Non-Adopters","Non-Adopters"
"403","Non-Adopters","Non-Adopters"
"404","Late Majority","High Thresh."
"405","Non-Adopters","Non-Adopters"
"406","Non-Adopters","Non-Adopters"
"407","Non-Adopters","Non-Adopters"
"408","Non-Adopters","Non-Adopters"
"409","Non-Adopters","Non-Adopters"
"410","Non-Adopters","Non-Adopters"
"411","Non-Adopters","Non-Adopters"
"412","Non-Adopters","Non-Adopters"
"413","Early Majority","High Thresh."
"414","Non-Adopters","Non-Adopters"
"415","Non-Adopters","Non-Adopters"
"416","Non-Adopters","Non-Adopters"
"417","Non-Adopters","Non-Adopters"
"418","Early Adopters","Low Thresh."
"419","Non-Adopters","Non-Adopters"
"420","Non-Adopters","Non-Adopters"
"421","Non-Adopters","Non-Adopters"
"422","Laggards","High Thresh."
"423","Non-Adopters","Non-Adopters"
"424","Non-Adopters","Non-Adopters"
"425","Non-Adopters","Non-Adopters"
"426","Non-Adopters","Non-Adopters"
"427","Non-Adopters","Non-Adopters"
"428","Non-Adopters","Non-Adopters"
"429","Non-Adopters","Non-Adopters"
"430","Non-Adopters","Non-Adopters"
"431","Non-Adopters","Non-Adopters"
"432","Non-Adopters","Non-Adopters"
"433","Early Adopters","High Thresh."
"434","Non-Adopters","Non-Adopters"
"435","Non-Adopters","Non-Adopters"
"436","Early Adopters","Low Thresh."
"437","Non-Adopters","Non-Adopters"
"438","Non-Adopters","Non-Adopters"
"439","Non-Adopters","Non-Adopters"
"440","Non-Adopters","Non-Adopters"
"441","Non-Adopters","Non-Adopters"
"442","Non-Adopters","Non-Adopters"
"443","Non-Adopters","Non-Adopters"
"444","Non-Adopters","Non-Adopters"
"445","Late Majority","High Thresh."
"446","Late Majority","High Thresh."
"447","Non-Adopters","Non-Adopters"
"448","Non-Adopters","Non-Adopters"
"449","Non-Adopters","Non-Adopters"
"450","Late Majority","Very Low Thresh."
"451","Non-Adopters","Non-Adopters"
"452","Non-Adopters","Non-Adopters"
"453","Non-Adopters","Non-Adopters"
"454","Non-Adopters","Non-Adopters"
"455","Non-Adopters","Non-Adopters"
"456","Non-Adopters","Non-Adopters"
"457","Non-Adopters","Non-Adopters"
"458","Non-Adopters","Non-Adopters"
"459","Non-Adopters","Non-Adopters"
"460","Non-Adopters","Non-Adopters"
"461","Non-Adopters","Non-Adopters"
"462","Non-Adopters","Non-Adopters"
"463","Non-Adopters","Non-Adopters"
"464","Non-Adopters","Non-Adopters"
"465","Non-Adopters","Non-Adopters"
"466","Non-Adopters","Non-Adopters"
"467","Non-Adopters","Non-Adopters"
"468","Non-Adopters","Non-Adopters"
"469","Non-Adopters","Non-Adopters"
"470","Non-Adopters","Non-Adopters"
"471","Non-Adopters","Non-Adopters"
"472","Non-Adopters","Non-Adopters"
"473","Non-Adopters","Non-Adopters"
"474","Non-Adopters","Non-Adopters"
"475","Non-Adopters","Non-Adopters"
"476","Non-Adopters","Non-Adopters"
"477","Non-Adopters","Non-Adopters"
"478","Non-Adopters","Non-Adopters"
"479","Non-Adopters","Non-Adopters"
"480","Non-Adopters","Non-Adopters"
"481","Laggards","High Thresh."
"482","Non-Adopters","Non-Adopters"
"483","Non-Adopters","Non-Adopters"
"484","Non-Adopters","Non-Adopters"
"485","Non-Adopters","Non-Adopters"
"486","Non-Adopters","Non-Adopters"
"487","Early Majority","High Thresh."
"488","Non-Adopters","Non-Adopters"
"489","Non-Adopters","Non-Adopters"
"490","Non-Adopters","Non-Adopters"
"491","Non-Adopters","Non-Adopters"
"492","Non-Adopters","Non-Adopters"
"493","Non-Adopters","Non-Adopters"
"494","Non-Adopters","Non-Adopters"
"495","Non-Adopters","Non-Adopters"
"496","Non-Adopters","Non-Adopters"
"497","Late Majority","High Thresh."
"498","Non-Adopters","Non-Adopters"
"499","Non-Adopters","Non-Adopters"
"500","Late Majority","High Thresh."
"501","Non-Adopters","Non-Adopters"
"502","Non-Adopters","Non-Adopters"
"503","Late Majority","High Thresh."
"504","Non-Adopters","Non-Adopters"
"505","Non-Adopters","Non-Adopters"
"506","Non-Adopters","Non-Adopters"
"507","Non-Adopters","Non-Adopters"
"508","Non-Adopters","Non-Adopters"
"509","Late Majority","Low Thresh."
"510","Non-Adopters","Non-Adopters"
"511","Non-Adopters","Non-Adopters"
"512","Non-Adopters","Non-Adopters"
"513","Non-Adopters","Non-Adopters"
"514","Non-Adopters","Non-Adopters"
"515","Non-Adopters","Non-Adopters"
"516","Non-Adopters","Non-Adopters"
"517","Non-Adopters","Non-Adopters"
"518","Non-Adopters","Non-Adopters"
"519","Early Majority","High Thresh."
"520","Non-Adopters","Non-Adopters"
"521","Non-Adopters","Non-Adopters"
"522","Early Majority","High Thresh."
"523","Non-Adopters","Non-Adopters"
"524","Non-Adopters","Non-Adopters"
"525","Non-Adopters","Non-Adopters"
"526","Non-Adopters","Non-Adopters"
"527","Non-Adopters","Non-Adopters"
"528","Non-Adopters","Non-Adopters"
"529","Non-Adopters","Non-Adopters"
"530","Non-Adopters","Non-Adopters"
"531","Non-Adopters","Non-Adopters"
"532","Non-Adopters","Non-Adopters"
"533","Non-Adopters","Non-Adopters"
"534","Non-Adopters","Non-Adopters"
"535","Non-Adopters","Non-Adopters"
"536","Non-Adopters","Non-Adopters"
"537","Non-Adopters","Non-Adopters"
"538","Non-Adopters","Non-Adopters"
"539","Non-Adopters","Non-Adopters"
"540","Non-Adopters","Non-Adopters"
"541","Non-Adopters","Non-Adopters"
"542","Late Majority","High Thresh."
"543","Non-Adopters","Non-Adopters"
"544","Non-Adopters","Non-Adopters"
"545","Early Adopters","High Thresh."
"546","Non-Adopters","Non-Adopters"
"547","Non-Adopters","Non-Adopters"
"548","Non-Adopters","Non-Adopters"
"549","Non-Adopters","Non-Adopters"
"550","Non-Adopters","Non-Adopters"
"551","Non-Adopters","Non-Adopters"
"552","Non-Adopters","Non-Adopters"
"553","Non-Adopters","Non-Adopters"
"554","Non-Adopters","Non-Adopters"
"555","Late Majority","Low Thresh."
"556","Non-Adopters","Non-Adopters"
"557","Non-Adopters","Non-Adopters"
"558","Non-Adopters","Non-Adopters"
"559","Late Majority","High Thresh."
"560","Non-Adopters","Non-Adopters"
"561","Non-Adopters","Non-Adopters"
"562","Non-Adopters","Non-Adopters"
"563","Non-Adopters","Non-Adopters"
"564","Non-Adopters","Non-Adopters"
"565","Non-Adopters","Non-Adopters"
"566","Non-Adopters","Non-Adopters"
"567","Non-Adopters","Non-Adopters"
"568","Non-Adopters","Non-Adopters"
"569","Non-Adopters","Non-Adopters"
"570","Non-Adopters","Non-Adopters"
"571","Non-Adopters","Non-Adopters"
"572","Early Adopters","Low Thresh."
"573","Non-Adopters","Non-Adopters"
"574","Non-Adopters","Non-Adopters"
"575","Non-Adopters","Non-Adopters"
"576","Non-Adopters","Non-Adopters"
"577","Non-Adopters","Non-Adopters"
"578","Non-Adopters","Non-Adopters"
"579","Non-Adopters","Non-Adopters"
"580","Non-Adopters","Non-Adopters"
"581","Non-Adopters","Non-Adopters"
"582","Non-Adopters","Non-Adopters"
"583","Non-Adopters","Non-Adopters"
"584","Non-Adopters","Non-Adopters"
"585","Non-Adopters","Non-Adopters"
"586","Early Majority","High Thresh."
"587","Non-Adopters","Non-Adopters"
"588","Non-Adopters","Non-Adopters"
"589","Non-Adopters","Non-Adopters"
"590","Non-Adopters","Non-Adopters"
"591","Non-Adopters","Non-Adopters"
"592","Non-Adopters","Non-Adopters"
"593","Non-Adopters","Non-Adopters"
"594","Non-Adopters","Non-Adopters"
"595","Non-Adopters","Non-Adopters"
"596","Late Majority","Very Low Thresh."
"597","Non-Adopters","Non-Adopters"
"598","Non-Adopters","Non-Adopters"
"599","Non-Adopters","Non-Adopters"
"600","Non-Adopters","Non-Adopters"
"601","Non-Adopters","Non-Adopters"
"602","Late Majority","High Thresh."
"603","Non-Adopters","Non-Adopters"
"604","Non-Adopters","Non-Adopters"
"605","Non-Adopters","Non-Adopters"
"606","Non-Adopters","Non-Adopters"
"607","Non-Adopters","Non-Adopters"
"608","Non-Adopters","Non-Adopters"
"609","Non-Adopters","Non-Adopters"
"610","Non-Adopters","Non-Adopters"
"611","Non-Adopters","Non-Adopters"
"612","Laggards","High Thresh."
"613","Non-Adopters","Non-Adopters"
"614","Late Majority","High Thresh."
"615","Non-Adopters","Non-Adopters"
"616","Non-Adopters","Non-Adopters"
"617","Non-Adopters","Non-Adopters"
"618","Non-Adopters","Non-Adopters"
"619","Non-Adopters","Non-Adopters"
"620","Non-Adopters","Non-Adopters"
"621","Non-Adopters","Non-Adopters"
"622","Non-Adopters","Non-Adopters"
"623","Non-Adopters","Non-Adopters"
"624","Non-Adopters","Non-Adopters"
"625","Non-Adopters","Non-Adopters"
"626","Non-Adopters","Non-Adopters"
"627","Non-Adopters","Non-Adopters"
"628","Non-Adopters","Non-Adopters"
"629","Non-Adopters","Non-Adopters"
"630","Non-Adopters","Non-Adopters"
"631","Non-Adopters","Non-Adopters"
"632","Non-Adopters","Non-Adopters"
"633","Non-Adopters","Non-Adopters"
"634","Non-Adopters","Non-Adopters"
"635","Late Majority","High Thresh."
"636","Non-Adopters","Non-Adopters"
"637","Non-Adopters","Non-Adopters"
"638","Non-Adopters","Non-Adopters"
"639","Late Majority","High Thresh."
"640","Non-Adopters","Non-Adopters"
"641","Non-Adopters","Non-Adopters"
"642","Non-Adopters","Non-Adopters"
"643","Non-Adopters","Non-Adopters"
"644","Non-Adopters","Non-Adopters"
"645","Non-Adopters","Non-Adopters"
"646","Non-Adopters","Non-Adopters"
"647","Non-Adopters","Non-Adopters"
"648","Non-Adopters","Non-Adopters"
"649","Non-Adopters","Non-Adopters"
"650","Non-Adopters","Non-Adopters"
"651","Non-Adopters","Non-Adopters"
"652","Late Majority","High Thresh."
"653","Non-Adopters","Non-Adopters"
"654","Non-Adopters","Non-Adopters"
"655","Non-Adopters","Non-Adopters"
"656","Non-Adopters","Non-Adopters"
"657","Non-Adopters","Non-Adopters"
"658","Non-Adopters","Non-Adopters"
"659","Non-Adopters","Non-Adopters"
"660","Non-Adopters","Non-Adopters"
"661","Non-Adopters","Non-Adopters"
"662","Non-Adopters","Non-Adopters"
"663","Non-Adopters","Non-Adopters"
"664","Non-Adopters","Non-Adopters"
"665","Non-Adopters","Non-Adopters"
"666","Laggards","High Thresh."
"667","Non-Adopters","Non-Adopters"
"668","Non-Adopters","Non-Adopters"
"669","Non-Adopters","Non-Adopters"
"670","Laggards","High Thresh."
"671","Non-Adopters","Non-Adopters"
"672","Non-Adopters","Non-Adopters"
"673","Non-Adopters","Non-Adopters"
"674","Late Majority","High Thresh."
"675","Early Majority","High Thresh."
"676","Non-Adopters","Non-Adopters"
"677","Non-Adopters","Non-Adopters"
"678","Non-Adopters","Non-Adopters"
"679","Non-Adopters","Non-Adopters"
"680","Non-Adopters","Non-Adopters"
"681","Non-Adopters","Non-Adopters"
"682","Non-Adopters","Non-Adopters"
"683","Non-Adopters","Non-Adopters"
"684","Non-Adopters","Non-Adopters"
"685","Non-Adopters","Non-Adopters"
"686","Late Majority","High Thresh."
"687","Non-Adopters","Non-Adopters"
"688","Non-Adopters","Non-Adopters"
"689","Non-Adopters","Non-Adopters"
"690","Non-Adopters","Non-Adopters"
"691","Non-Adopters","Non-Adopters"
"692","Non-Adopters","Non-Adopters"
"693","Non-Adopters","Non-Adopters"
"694","Non-Adopters","Non-Adopters"
"695","Non-Adopters","Non-Adopters"
"696","Non-Adopters","Non-Adopters"
"697","Non-Adopters","Non-Adopters"
"698","Non-Adopters","Non-Adopters"
"699","Non-Adopters","Non-Adopters"
"700","Non-Adopters","Non-Adopters"
"701","Early Majority","High Thresh."
"702","Non-Adopters","Non-Adopters"
"703","Non-Adopters","Non-Adopters"
"704","Non-Adopters","Non-Adopters"
"705","Non-Adopters","Non-Adopters"
"706","Non-Adopters","Non-Adopters"
"707","Non-Adopters","Non-Adopters"
"708","Non-Adopters","Non-Adopters"
"709","Non-Adopters","Non-Adopters"
"710","Non-Adopters","Non-Adopters"
"711","Non-Adopters","Non-Adopters"
"712","Non-Adopters","Non-Adopters"
"713","Non-Adopters","Non-Adopters"
"714","Non-Adopters","Non-Adopters"
"715","Non-Adopters","Non-Adopters"
"716","Non-Adopters","Non-Adopters"
"717","Non-Adopters","Non-Adopters"
"718","Non-Adopters","Non-Adopters"
"719","Non-Adopters","Non-Adopters"
"720","Non-Adopters","Non-Adopters"
